Schlüssel;Identnummer;Detailnetzsegment;Straßenbezeichnung;Straßenname;Bezirk;Ortsteil;RVA-Typ;Typ;Länge [m];Benutzungspflicht
1;10-000415;58530025_58530021.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Geh-/Radweg, durch Markierung unterschieden;26,00;ja
2;10-000039;60530006_60530009.01;B1/B5;Alt-Mahlsdorf;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Radfahrerfurt Z 340;16,00;ja
3;10-000038;60530005_60530006.01;B1/B5;Alt-Mahlsdorf;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Geh-/Radweg, durch Markierung unterschieden;510,00;nein
4;10-000011;57530025_57530026.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;76,00;ja
5;10-000012;57530001_57530017.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Radweg, baulich getrennt;192,00;ja
6;10-000013;57530017_57530006.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;38,00;ja
7;10-000014;57530015_57530017.02;-;Tychyer Straße;Marzahn-Hellersdorf;Biesdorf;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;15,00;nein
8;10-000015;57530017_57530006.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;216,00;ja
9;10-000016;57530006_57530028.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;34,00;ja
10;10-000017;57530005_57530006.02;-;Apollofalterallee;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;20,00;nein
11;10-000018;57530005_57530006.02;-;Apollofalterallee;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;27,00;nein
12;10-000019;57530006_57530028.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;127,00;ja
13;10-000020;57530028_58530003.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;5,00;ja
14;10-000021;57530028_58530003.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;96,00;ja
15;10-000022;57530028_58530003.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;34,00;ja
16;10-000023;58530003_58530004.01;-;Am Brodersengarten;Marzahn-Hellersdorf;Biesdorf;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;14,00;nein
17;10-000024;58530003_58530011.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;79,00;ja
18;10-000025;58530003_58530011.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;9,00;ja
19;10-000026;58530011_58530012.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;270,00;ja
20;10-000027;58530011_58530012.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, ohne Trennung;8,00;ja
21;10-000028;58530012_58530013.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, ohne Trennung;60,00;nein
22;10-000029;58530026_58530025.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Geh-/Radweg, baulich unterschieden;163,00;ja
23;10-000030;58530026_58530025.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Radfahrerfurt Z 340;27,00;ja
46;11-000009;51530052_51530042.01;-;Schreiberhauer Straße;Lichtenberg;Rummelsburg;Radwege;Radweg, baulich getrennt;243,00;nein
24;10-000031;58530021_59530004.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Geh-/Radweg, baulich unterschieden;379,00;ja
25;10-000032;58530021_59530004.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Radfahrerfurt Z 340;12,00;ja
26;10-000033;59530005_59530006.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Geh-/Radweg, baulich unterschieden;116,00;ja
27;10-000034;59530005_59530006.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Geh-/Radweg, baulich unterschieden;53,00;ja
28;10-000035;59530005_59530006.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Radfahrerfurt Z 340;38,00;ja
29;10-000036;59530007_59530045.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Geh-/Radweg, durch Markierung unterschieden;497,00;nein
30;10-000037;59530007_59530045.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Radfahrerfurt Z 340;28,00;nein
31;11-000005;51540012_51540042.01;-;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;Radwege;Geh-/Radweg, baulich unterschieden;175,00;ja
32;02-000004;51530006_51540012.01;-;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;Radwege;Radfahrerfurt Z 340;22,00;ja
33;02-000005;51530006_51540012.01;-;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;83,00;ja
34;02-000006;51530007_51530006.02;-;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;11,00;nein
35;02-000007;51530007_51530006.02;-;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;195,00;nein
36;02-000008;51530007_51530006.02;-;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;21,00;nein
37;02-000009;51530009_51530008.01;-;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;176,00;nein
38;02-000010;51530003_51530009.01;-;Neue Bahnhofstraße;Friedrichshain-Kreuzberg;Friedrichshain;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;19,00;nein
101;11-000028;53500014_53500015.01;-;Blockdammweg;Lichtenberg;Karlshorst;Radfahrstreifen;Radfahrstreifen Z 295, ohne ruh.Verkehr;148,00;nein
39;02-000011;51530003_51530009.01;-;Neue Bahnhofstraße;Friedrichshain-Kreuzberg;Friedrichshain;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;183,00;nein
40;02-000012;51530009_51530008.01;-;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;234,00;nein
41;02-000013;51530008_51530007.02;-;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;16,00;nein
42;02-000014;51530006_51540012.01;-;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;410,00;ja
43;11-000006;51540012_51540042.01;-;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;Radwege;Geh-/Radweg, baulich unterschieden;92,00;ja
44;11-000007;51540042_51540040.01;-;Gürtelstraße;Lichtenberg;Lichtenberg;Radwege;Radfahrerfurt Z 340;10,00;ja
45;11-000008;51540042_51540040.01;-;Gürtelstraße;Lichtenberg;Lichtenberg;Radwege;Geh-/Radweg, baulich unterschieden;87,00;ja
47;11-000010;51530045_51530038.01;-;Schreiberhauer Straße;Lichtenberg;Rummelsburg;Radwege;Radweg, baulich getrennt;219,00;nein
48;11-000011;51530045_51530038.01;-;Schreiberhauer Straße;Lichtenberg;Rummelsburg;Radwege;Radweg, baulich getrennt;184,00;nein
49;11-000012;51530042_51530047.01;-;Schreiberhauer Straße;Lichtenberg;Rummelsburg;Radwege;Radweg, baulich getrennt;97,00;nein
50;11-000013;51530052_51530042.01;-;Schreiberhauer Straße;Lichtenberg;Rummelsburg;Radwege;Radweg, baulich getrennt;152,00;nein
51;11-000014;51520045_51520046.01;-;Hauptstraße;Lichtenberg;Rummelsburg;Radwege;Gehweg, mit Radverkehr frei;346,00;nein
52;11-000015;51520047_51520049.01;-;Karlshorster Straße;Lichtenberg;Rummelsburg;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;8,00;nein
53;11-000016;51520047_51520049.01;-;Karlshorster Straße;Lichtenberg;Rummelsburg;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;6,00;nein
54;11-000017;51520047_51520056.01;-;Hauptstraße;Lichtenberg;Rummelsburg;Radwege;Radfahrerfurt Z 340;19,00;nein
55;11-000018;51520049_51520050.01;-;Nöldnerstraße;Lichtenberg;Rummelsburg;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;5,00;nein
56;11-000019;51520047_51520056.01;-;Hauptstraße;Lichtenberg;Rummelsburg;Radfahrstreifen;Radfahrstreifen Z 295, ohne ruh.Verkehr;40,00;nein
57;11-000020;53500032_53500013.02;-;Blockdammweg;Lichtenberg;Rummelsburg;Radwege;Geh-/Radweg, baulich unterschieden;34,00;ja
58;11-000021;53500032_53500013.02;-;Blockdammweg;Lichtenberg;Rummelsburg;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;184,00;ja
59;11-000022;53500013_53500014.02;-;Blockdammweg;Lichtenberg;Karlshorst;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;42,00;nein
60;10-000040;60530006_60530009.01;B1/B5;Alt-Mahlsdorf;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Geh-/Radweg, durch Markierung unterschieden;451,00;ja
61;10-000041;60530009_61530001.01;B1/B5;Alt-Mahlsdorf;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Radfahrerfurt Z 340;43,00;ja
62;10-000042;60530009_61530001.01;B1/B5;Alt-Mahlsdorf;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Geh-/Radweg, durch Markierung unterschieden;186,00;ja
63;10-000043;61530001_61530002.01;B1/B5;Alt-Mahlsdorf;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Geh-/Radweg, ohne Trennung;33,00;ja
64;10-000044;61530002_61530003.01;B1/B5;Alt-Mahlsdorf;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Radfahrerfurt Z 340;7,00;ja
65;10-000045;61530002_61530003.01;B1/B5;Alt-Mahlsdorf;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Geh-/Radweg, ohne Trennung;169,00;ja
66;10-000046;61530002_61530003.01;B1/B5;Alt-Mahlsdorf;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Geh-/Radweg, baulich unterschieden;61,00;ja
67;10-000047;61530002_61530003.01;B1/B5;Alt-Mahlsdorf;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Radfahrerfurt Z 340;37,00;ja
68;10-000050;61530002_61530003.01;B1/B5;Alt-Mahlsdorf;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Radfahrerfurt Z 340;35,00;ja
113;10-000082;57530035_57530038.02;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;15,00;ja
69;10-000051;61530001_61530002.01;B1/B5;Alt-Mahlsdorf;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Geh-/Radweg, durch Markierung unterschieden;305,00;ja
70;10-000052;60530009_61530001.01;B1/B5;Alt-Mahlsdorf;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Radfahrerfurt Z 340;8,00;ja
102;11-000029;53500032_53500013.02;-;Blockdammweg;Lichtenberg;Rummelsburg;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;95,00;ja
71;10-000053;60530009_61530001.01;B1/B5;Alt-Mahlsdorf;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Geh-/Radweg, durch Markierung unterschieden;150,00;ja
72;10-000054;60530006_60530009.01;B1/B5;Alt-Mahlsdorf;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Radfahrerfurt Z 340;38,00;ja
73;10-000055;60530006_60530009.01;B1/B5;Alt-Mahlsdorf;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Geh-/Radweg, baulich unterschieden;183,00;ja
74;10-000056;60530006_60530009.01;B1/B5;Alt-Mahlsdorf;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Radfahrerfurt Z 340;32,00;ja
75;10-000057;60530006_60530009.01;B1/B5;Alt-Mahlsdorf;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Geh-/Radweg, durch Markierung unterschieden;234,00;ja
76;10-000058;60530006_60530017.01;-;Neuenhagener Straße;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Geh-/Radweg, durch Markierung unterschieden;23,00;nein
77;10-000059;60530005_60530006.01;B1/B5;Alt-Mahlsdorf;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Radfahrerfurt Z 340;11,00;nein
78;10-000060;59530045_60530004.01;B1/B5;Alt-Mahlsdorf;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Radweg, baulich getrennt;57,00;ja
79;10-000061;59530007_59530045.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Radfahrerfurt Z 340;35,00;nein
80;10-000062;59530006_59530007.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Geh-/Radweg, durch Markierung unterschieden;228,00;ja
81;10-000063;59530005_59530006.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Radfahrerfurt Z 340;38,00;ja
82;10-000065;59530005_59530006.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Geh-/Radweg, baulich unterschieden;142,00;ja
83;10-000066;59530004_59530005.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Radfahrerfurt Z 340;21,00;ja
84;10-000067;58530021_59530004.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Geh-/Radweg, baulich unterschieden;174,00;ja
85;10-000068;58530025_58530021.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Radfahrerfurt Z 340;15,00;ja
86;10-000069;59530030_59530004.03;-;Mädewalder Weg;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Geh-/Radweg, baulich unterschieden;18,00;nein
87;10-000070;58530025_58530021.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Geh-/Radweg, baulich unterschieden;247,00;ja
88;10-000071;58530026_58530025.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Radfahrerfurt Z 340;20,00;ja
89;10-000072;58530026_58530025.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Geh-/Radweg, ohne Trennung;210,00;ja
114;10-000083;57530035_57530038.02;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;188,00;ja
90;10-000073;57530001_57530017.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Radweg, baulich getrennt;986,00;ja
91;10-000074;57530027_57530001.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;18,00;nein
92;10-000075;57530026_57530027.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;54,00;ja
93;10-000076;57530025_57530026.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;26,00;ja
94;10-000077;57530025_57530026.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;127,00;ja
95;10-000414;58530025_58530021.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Geh-/Radweg, baulich unterschieden;24,00;ja
96;11-000023;53500013_53500014.02;-;Blockdammweg;Lichtenberg;Karlshorst;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;267,00;nein
97;11-000024;53500015_53500016.01;-;Blockdammweg;Lichtenberg;Karlshorst;Radfahrstreifen;Radfahrstreifen Z 295, ohne ruh.Verkehr;92,00;ja
98;11-000025;53500016_54500027.02;-;Ehrlichstraße;Lichtenberg;Karlshorst;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;32,00;nein
99;11-000026;53500015_53500016.01;-;Blockdammweg;Lichtenberg;Karlshorst;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;24,00;ja
100;11-000027;53500015_53500016.01;-;Blockdammweg;Lichtenberg;Karlshorst;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;87,00;ja
103;11-000030;53500032_53500013.02;-;Blockdammweg;Lichtenberg;Rummelsburg;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;25,00;ja
104;11-000031;53500032_53500013.02;-;Blockdammweg;Lichtenberg;Rummelsburg;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;171,00;ja
105;11-000032;53500032_53500013.02;-;Blockdammweg;Lichtenberg;Rummelsburg;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;100,00;ja
106;11-000033;53500032_53500013.02;-;Blockdammweg;Lichtenberg;Rummelsburg;Radwege;Geh-/Radweg, baulich unterschieden;38,00;ja
107;11-000034;51530022_52530006.02;-;Am Alten Lokschuppen;Lichtenberg;Rummelsburg;Radwege;Gehweg, mit Radverkehr frei;14,00;nein
108;11-000035;51530032_51520050.02;-;Stadthausstraße;Lichtenberg;Rummelsburg;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;6,00;nein
109;02-000015;50530021_50530022.01;-;Gärtnerstraße;Friedrichshain-Kreuzberg;Friedrichshain;Radfahrstreifen;Radfahrstreifen Z 295, ohne ruh.Verkehr;5,00;nein
110;10-000078;57530037_57530025.01;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;56,00;ja
111;10-000079;57530037_57530025.01;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;122,00;ja
112;10-000081;57530038_57530037.01;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;102,00;ja
115;10-000084;57520001_57530039.01;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;22,00;nein
116;10-000085;57520056_57520023.01;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;304,00;nein
117;10-000107;57510036_57510008.01;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;87,00;nein
118;10-000108;57500005_57510036.01;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;30,00;nein
119;10-000109;57500005_57510036.01;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Radwege;Radweg, baulich getrennt;222,00;nein
120;09-000001;56490002_57490052.01;-;Köpenicker Straße;Treptow-Köpenick;Köpenick;Radwege;Geh-/Radweg, ohne Trennung;458,00;nein
121;09-000002;56490002_57490052.01;-;Köpenicker Straße;Treptow-Köpenick;Köpenick;Radwege;Radfahrerfurt Z 340;42,00;nein
122;09-000003;56490002_56490003.01;-;Köpenicker Allee;Treptow-Köpenick;Köpenick;Radwege;Geh-/Radweg, ohne Trennung;32,00;ja
123;09-000004;56490004_57470003.02;-;Rudolf-Rühl-Allee;Treptow-Köpenick;Köpenick;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;8,00;nein
124;09-000005;56490002_57490052.01;-;Köpenicker Straße;Treptow-Köpenick;Köpenick;Radwege;Radfahrerfurt Z 340;62,00;nein
125;10-000110;57500005_57510036.01;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Radwege;Radweg, baulich getrennt;223,00;nein
126;10-000111;57500005_57510036.01;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;27,00;nein
127;10-000112;57510008_57510010.01;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;99,00;nein
128;10-000113;57510008_57510010.01;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;9,00;nein
129;10-000114;57510010_57510024.01;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;113,00;nein
130;10-000115;57510024_57510016.01;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Radfahrstreifen;Radverkehrsanlage Z 340 im/am Knotenpunktsbereich;11,00;nein
131;10-000116;57510024_57510016.01;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;113,00;nein
132;10-000117;57510024_57510016.01;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;10,00;nein
133;10-000118;57510016_57510034.01;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;132,00;nein
134;10-000119;57510034_57510014.01;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;7,00;nein
135;10-000120;57510032_57510005.01;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;159,00;nein
136;10-000121;57510005_57510028.01;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;14,00;nein
137;10-000122;57510005_57510028.01;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;107,00;nein
138;10-000144;57530037_57530025.01;-;Köpenicker Straße;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;113,00;ja
139;10-000145;57530025_57530018.01;-;Blumberger Damm;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;58,00;ja
140;10-000146;57530024_57530025.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;47,00;nein
141;10-000147;57530024_57530025.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;51,00;nein
142;10-000148;57530025_57530018.01;-;Blumberger Damm;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;127,00;ja
143;10-000149;57530018_57530034.01;-;Blumberger Damm;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;30,00;nein
144;10-000150;57530018_57530034.01;-;Blumberger Damm;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;111,00;nein
145;10-000151;57530034_57540045.01;-;Blumberger Damm;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;45,00;ja
146;10-000152;57540001_57540042.02;-;Blumberger Damm;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, durch Markierung unterschieden;60,00;ja
147;10-000153;57540001_57540042.02;-;Blumberger Damm;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;31,00;ja
148;10-000154;57540042_57540002.01;-;Blumberger Damm;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;481,00;ja
149;10-000155;57540002_57550037.01;-;Blumberger Damm;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;35,00;ja
150;10-000156;57540002_57550037.01;-;Blumberger Damm;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;46,00;ja
151;10-000158;57550035_57550025.01;-;Blumberger Damm;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;29,00;ja
152;10-000159;57550035_57550025.01;-;Blumberger Damm;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;49,00;ja
153;10-000160;57550025_57550036.01;-;Blumberger Damm;Marzahn-Hellersdorf;Biesdorf;Radwege;Radweg, baulich getrennt;363,00;ja
154;10-000161;57550036_57560043.01;-;Blumberger Damm;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;37,00;ja
155;10-000162;57550036_57560043.01;-;Blumberger Damm;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;35,00;ja
156;10-000163;57550025_57550036.01;-;Blumberger Damm;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;77,00;ja
157;10-000164;57550025_57550036.01;-;Blumberger Damm;Marzahn-Hellersdorf;Biesdorf;Radwege;Radweg, baulich getrennt;52,00;ja
158;10-000165;57550025_57550036.01;-;Blumberger Damm;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;218,00;ja
159;10-000166;57550012_57550025.02;-;Kornmandelweg;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;30,00;ja
160;10-000167;57550035_57550025.01;-;Blumberger Damm;Marzahn-Hellersdorf;Biesdorf;Radwege;Radweg, baulich getrennt;65,00;ja
161;10-000168;57550035_57550025.01;-;Blumberger Damm;Marzahn-Hellersdorf;Biesdorf;Radfahrstreifen;Radverkehrsanlage Z 340 im/am Knotenpunktsbereich;30,00;ja
162;10-000169;57550012_57550025.02;-;Kornmandelweg;Marzahn-Hellersdorf;Biesdorf;Radwege;Radweg, baulich getrennt;11,00;ja
163;10-000170;57550037_57550035.01;-;Blumberger Damm;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;675,00;nein
