;OBJECTID;LAND;BEZ;LOR;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
45;113425;11;3;3071639;2018;1;11;6;3;1;5;0;1;1;0;0;0;0;0;800324,1264;5829441,41;13,42850921;52,53209046
46;113437;11;4;4041134;2018;1;10;2;3;3;6;0;0;1;0;0;0;0;0;790711,8068;5824956,191;13,28328727;52,49709232
47;113456;11;12;12231102;2018;1;12;4;3;2;6;0;0;1;0;0;0;1;1;791035,8465;5841190,008;13,30229234;52,64245276
48;113468;11;7;7050502;2018;1;9;3;3;6;4;0;0;1;1;0;0;0;1;798181,752;5818924,81;13,38761144;52,43899811
49;113473;11;7;7030303;2018;1;16;5;2;5;3;0;1;1;0;0;0;0;1;795573,439;5823307,799;13,35323275;52,47970452
50;113484;11;7;7050502;2018;1;10;4;2;5;3;0;1;1;0;0;0;0;1;797451,0135;5817860,22;13,37594587;52,42985299
51;113494;11;3;3061434;2018;1;17;1;3;3;6;2;0;0;0;1;0;1;0;800636,0337;5829879,192;13,43348954;52,53584246
52;113516;11;1;1011303;2018;1;6;3;3;5;3;2;1;1;0;0;0;0;0;799651,4973;5828438,163;13,41771871;52,52346813
53;113529;11;4;4041133;2018;1;16;2;3;2;6;2;0;1;0;0;0;1;0;790575,9212;5825144,189;13,28145524;52,49885011
54;113539;11;4;4041134;2018;1;19;4;3;3;6;2;0;1;0;0;0;0;1;791089,4446;5824656,266;13,28857229;52,49420221
55;113559;11;4;4010101;2018;1;22;6;3;2;6;2;0;1;0;0;1;0;0;790847,9678;5828941,131;13,28877063;52,53274473
56;113585;11;6;6010101;2018;1;17;2;3;2;6;2;0;1;0;0;0;0;0;793312,0452;5820308,427;13,31739335;52,45403539
57;113598;11;4;4041133;2018;1;17;5;3;2;6;2;0;1;0;0;0;0;0;790636,2253;5825026,655;13,28223853;52,49776429
58;113631;11;2;2050602;2018;1;10;7;2;5;3;0;1;1;0;0;0;0;0;802593,0932;5827685,553;13,46025955;52,51509809
59;113652;11;7;7050502;2018;1;20;2;3;0;1;2;0;0;0;1;0;0;2;798461,0121;5818169,422;13,39103313;52,43207457
60;113664;11;1;1011201;2018;1;16;4;3;2;6;2;0;0;0;1;0;1;1;797285,7632;5826772,607;13,3814641;52,50983334
61;113695;11;4;4020310;2018;1;10;5;3;3;6;0;0;1;0;0;1;0;1;790468,5846;5828468,873;13,28278069;52,52871325
62;113705;11;7;7050501;2018;1;15;2;3;2;6;1;0;1;0;0;0;0;0;797925,3269;5820119,51;13,38491553;52,44984708
63;113716;11;3;3061434;2018;1;8;3;2;6;4;0;0;1;1;0;0;0;0;800658,3963;5830028,172;13,43395303;52,53716546
64;113735;11;4;4020313;2018;1;11;5;3;2;6;0;0;1;0;0;0;0;0;790600,0963;5827215,139;13,28361836;52,51740341
